X,Y,V
21,8,1.0
22,8,2.0
23,8,2.0
24,8,0.0
25,8,4.0
26,8,4.0
27,8,4.0
28,8,4.0
29,8,4.0
30,8,4.0
31,8,4.0
32,8,4.0
33,8,3.0
34,8,4.0
35,8,4.0
36,8,0.0
37,8,0.0
38,8,0.0
39,8,0.0
40,8,2.0
41,8,3.0
42,8,2.0
43,8,1.0
44,8,1.0
45,8,2.0
46,8,2.0
47,8,0.0
48,8,0.0
49,8,0.0
50,8,1.0
51,8,1.0
52,8,1.0
53,8,0.0
54,8,0.0
55,8,0.0
56,8,0.0
57,8,1.0
58,8,0.0
59,8,0.0
60,8,0.0
61,8,0.0
62,8,0.0
63,8,0.0
64,8,0.0
65,8,0.0
66,8,1.0
67,8,2.0
68,8,2.0
69,8,2.0
70,8,3.0
71,8,2.0
72,8,3.0
73,8,3.0
74,8,4.0
75,8,3.0
76,8,3.0
77,8,3.0
78,8,2.0
79,8,1.0
80,8,1.0
81,8,1.0
82,8,2.0
83,8,2.0
84,8,2.0
85,8,2.0
86,8,3.0
87,8,1.0
88,8,2.0
89,8,3.0
90,8,2.0
91,8,1.0
92,8,2.0
93,8,3.0
94,8,3.0
95,8,3.0
96,8,3.0
97,8,3.0
98,8,4.0
99,8,4.0
100,8,4.0
1,9,0.0
2,9,0.0
3,9,1.0
4,9,0.0
5,9,0.0
6,9,1.0
7,9,2.0
8,9,1.0
9,9,2.0
10,9,2.0
11,9,1.0
12,9,2.0
13,9,1.0
14,9,1.0
15,9,2.0
16,9,3.0
17,9,3.0
18,9,2.0
19,9,3.0
20,9,2.0
21,9,2.0
22,9,2.0
23,9,2.0
24,9,0.0
25,9,4.0
26,9,4.0
27,9,4.0
28,9,4.0
29,9,4.0
30,9,4.0
31,9,4.0
32,9,4.0
33,9,3.0
34,9,4.0
35,9,0.0
36,9,0.0
37,9,1.0
38,9,0.0
39,9,0.0
40,9,1.0
41,9,1.0
42,9,2.0
43,9,2.0
44,9,3.0
45,9,2.0
46,9,1.0
47,9,1.0
48,9,0.0
49,9,0.0
50,9,0.0
51,9,0.0
52,9,0.0
53,9,0.0
54,9,0.0
55,9,0.0
56,9,0.0
57,9,0.0
58,9,0.0
59,9,0.0
60,9,0.0
61,9,0.0
62,9,0.0
63,9,0.0
64,9,0.0
65,9,0.0
66,9,1.0
67,9,1.0
68,9,2.0
69,9,1.0
70,9,2.0
71,9,1.0
72,9,2.0
73,9,3.0
74,9,4.0
75,9,3.0
76,9,3.0
77,9,3.0
78,9,3.0
79,9,2.0
80,9,2.0
81,9,1.0
82,9,1.0
83,9,0.0
84,9,1.0
85,9,2.0
86,9,2.0
87,9,2.0
88,9,3.0
89,9,2.0
90,9,2.0
91,9,2.0
92,9,2.0
93,9,3.0
94,9,3.0
95,9,3.0
96,9,3.0
97,9,4.0
98,9,3.0
99,9,4.0
100,9,3.0
1,10,0.0
2,10,0.0
3,10,0.0
4,10,1.0
5,10,1.0
6,10,1.0
7,10,2.0
8,10,2.0
9,10,3.0
10,10,1.0
11,10,1.0
12,10,0.0
13,10,1.0
14,10,0.0
15,10,0.0
16,10,1.0
17,10,1.0
18,10,1.0
19,10,1.0
20,10,2.0
21,10,2.0
22,10,2.0
23,10,2.0
24,10,3.0
25,10,4.0
26,10,4.0
27,10,4.0
28,10,4.0
29,10,4.0
30,10,4.0
31,10,4.0
32,10,4.0
33,10,4.0
34,10,3.0
35,10,0.0
36,10,1.0
37,10,0.0
38,10,0.0
39,10,0.0
40,10,1.0
41,10,0.0
42,10,1.0
43,10,1.0
44,10,1.0
45,10,1.0
46,10,0.0
47,10,0.0
48,10,0.0
49,10,0.0
50,10,0.0
51,10,0.0
52,10,0.0
53,10,0.0
54,10,0.0
55,10,0.0
56,10,0.0
57,10,0.0
58,10,0.0
59,10,0.0
60,10,0.0
61,10,0.0
62,10,0.0
63,10,1.0
64,10,0.0
65,10,1.0
66,10,1.0
67,10,1.0
68,10,1.0
69,10,0.0
70,10,1.0
71,10,1.0
72,10,1.0
73,10,2.0
74,10,3.0
75,10,3.0
76,10,3.0
77,10,3.0
78,10,3.0
79,10,3.0
80,10,3.0
81,10,2.0
82,10,3.0
83,10,3.0
84,10,3.0
85,10,3.0
86,10,3.0
87,10,4.0
88,10,4.0
89,10,3.0
90,10,3.0
91,10,3.0
92,10,3.0
93,10,3.0
94,10,3.0
95,10,2.0
96,10,3.0
97,10,3.0
98,10,3.0
99,10,3.0
100,10,3.0
1,11,0.0
2,11,0.0
3,11,0.0
4,11,0.0
5,11,1.0
6,11,1.0
7,11,2.0
8,11,2.0
9,11,1.0
10,11,1.0
11,11,1.0
12,11,1.0
13,11,1.0
14,11,0.0
15,11,0.0
16,11,0.0
17,11,0.0
18,11,1.0
19,11,2.0
20,11,2.0
21,11,2.0
22,11,3.0
23,11,3.0
24,11,3.0
25,11,4.0
26,11,4.0
27,11,4.0
28,11,4.0
29,11,4.0
30,11,4.0
31,11,4.0
32,11,4.0
33,11,4.0
34,11,2.0
35,11,1.0
36,11,1.0
37,11,0.0
38,11,0.0
39,11,0.0
40,11,1.0
41,11,1.0
42,11,0.0
43,11,1.0
44,11,1.0
45,11,0.0
46,11,0.0
47,11,0.0
48,11,0.0
49,11,0.0
50,11,0.0
51,11,0.0
52,11,0.0
53,11,0.0
54,11,0.0
55,11,0.0
56,11,0.0
57,11,0.0
58,11,0.0
59,11,0.0
60,11,0.0
61,11,0.0
62,11,0.0
63,11,0.0
64,11,0.0
65,11,1.0
66,11,1.0
67,11,1.0
68,11,2.0
69,11,0.0
70,11,1.0
71,11,3.0
72,11,3.0
73,11,4.0
74,11,3.0
75,11,3.0
76,11,3.0
77,11,3.0
78,11,2.0
79,11,3.0
80,11,4.0
81,11,3.0
82,11,3.0
83,11,3.0
84,11,3.0
85,11,1.0
86,11,3.0
87,11,4.0
88,11,3.0
89,11,3.0
90,11,3.0
91,11,3.0
92,11,3.0
93,11,2.0
94,11,2.0
95,11,2.0
96,11,2.0
97,11,3.0
98,11,2.0
99,11,3.0
100,11,3.0
1,12,0.0
2,12,0.0
3,12,0.0
4,12,1.0
5,12,1.0
6,12,1.0
7,12,1.0
8,12,2.0
9,12,0.0
10,12,0.0
11,12,0.0
12,12,2.0
13,12,0.0
14,12,0.0
15,12,0.0
16,12,0.0
17,12,0.0
18,12,2.0
19,12,3.0
20,12,3.0
21,12,2.0
22,12,3.0
23,12,3.0
24,12,3.0
25,12,0.0
26,12,4.0
27,12,4.0
28,12,4.0
29,12,4.0
30,12,4.0
31,12,4.0
32,12,4.0
33,12,4.0
34,12,4.0
35,12,3.0
36,12,2.0
37,12,1.0
38,12,0.0
39,12,0.0
40,12,1.0
41,12,1.0
42,12,0.0
43,12,1.0
44,12,1.0
45,12,0.0
46,12,0.0
47,12,1.0
48,12,0.0
49,12,0.0
50,12,0.0
51,12,0.0
52,12,0.0
53,12,0.0
54,12,0.0
55,12,0.0
56,12,0.0
57,12,0.0
58,12,0.0
59,12,0.0
60,12,0.0
61,12,0.0
62,12,0.0
63,12,1.0
64,12,1.0
65,12,2.0
66,12,2.0
67,12,2.0
68,12,2.0
69,12,1.0
70,12,2.0
71,12,3.0
72,12,3.0
73,12,3.0
74,12,3.0
75,12,3.0
76,12,3.0
77,12,2.0
78,12,3.0
79,12,3.0
80,12,3.0
81,12,3.0
82,12,4.0
83,12,3.0
84,12,4.0
85,12,3.0
86,12,3.0
87,12,3.0
88,12,3.0
89,12,3.0
90,12,4.0
91,12,3.0
92,12,3.0
93,12,1.0
94,12,2.0
95,12,0.0
96,12,1.0
97,12,1.0
98,12,2.0
99,12,2.0
100,12,2.0
1,13,2.0
2,13,0.0
3,13,0.0
4,13,2.0
5,13,2.0
6,13,1.0
7,13,1.0
8,13,1.0
9,13,1.0
10,13,1.0
11,13,2.0
12,13,1.0
13,13,2.0
14,13,2.0
15,13,2.0
